Fields,CellAddress,Message
categoryCode,C2,Missing categoryCode at index 0
featureDescription,E2,Missing featureDescription at index 0
categoryCode,C3,Missing categoryCode at index 1
featureDescription,E3,Missing featureDescription at index 1
categoryCode,C4,Missing categoryCode at index 2
featureDescription,E4,Missing featureDescription at index 2
categoryCode,C5,Missing categoryCode at index 3
featureDescription,E5,Missing featureDescription at index 3
categoryCode,C6,Missing categoryCode at index 4
featureDescription,E6,Missing featureDescription at index 4
categoryCode,C7,Missing categoryCode at index 5
featureDescription,E7,Missing featureDescription at index 5
categoryCode,C8,Missing categoryCode at index 6
featureDescription,E8,Missing featureDescription at index 6
categoryCode,C9,Missing categoryCode at index 7
featureDescription,E9,Missing featureDescription at index 7
categoryCode,C10,Missing categoryCode at index 8
featureDescription,E10,Missing featureDescription at index 8
categoryCode,C11,Missing categoryCode at index 9
featureDescription,E11,Missing featureDescription at index 9
categoryCode,C12,Missing categoryCode at index 10
featureDescription,E12,Missing featureDescription at index 10
categoryCode,C13,Missing categoryCode at index 11
featureDescription,E13,Missing featureDescription at index 11
categoryCode,C14,Missing categoryCode at index 12
featureDescription,E14,Missing featureDescription at index 12
categoryCode,C15,Missing categoryCode at index 13
featureDescription,E15,Missing featureDescription at index 13
categoryCode,C16,Missing categoryCode at index 14
featureDescription,E16,Missing featureDescription at index 14
