Fields,CellAddress,Message
duration,G2,Missing duration
annualMileage,H2,Missing annualMileage at index 0
monthlyCost,I2,Missing monthlyCost
calculationNo,J2,Missing calculationNo
leaseType,A2,Missing leaseType
term,B2,Missing term
duration,G2,Invalid duration
annualMileage,H2,Invalid annualMileage
monthlyCost,I2,Invalid monthlyCost
calculationNo,J2,Invalid calculationNo
duration,G3,Missing duration
annualMileage,H3,Missing annualMileage at index 1
monthlyCost,I3,Missing monthlyCost
calculationNo,J3,Missing calculationNo
leaseType,A3,Missing leaseType
term,B3,Missing term
duration,G3,Invalid duration
annualMileage,H3,Invalid annualMileage
monthlyCost,I3,Invalid monthlyCost
calculationNo,J3,Invalid calculationNo
duration,G4,Missing duration
annualMileage,H4,Missing annualMileage at index 2
monthlyCost,I4,Missing monthlyCost
calculationNo,J4,Missing calculationNo
leaseType,A4,Missing leaseType
term,B4,Missing term
duration,G4,Invalid duration
annualMileage,H4,Invalid annualMileage
monthlyCost,I4,Invalid monthlyCost
calculationNo,J4,Invalid calculationNo
